lsoa21cd,lsoa21nm,cluster_type,pop_label,joint_type,housing_score,pop_score,joint_score,pop_vuln_score,priority_score,priority_tier,HEI_bayes,HEI_adjusted,pct_poor_health,pct_low_nssec,pct_elderly_alone,pct_dep_children,pct_deprived_2plus,pct_long_commute,pct_large_hh,avg_epc_rating_num_al,overcrowding_proxy_al,median_house_price_al,transport_ptai_al,hospital_al
E01003954,Southwark 030B,D,Family,Housing Disadvantage,4,2,6,0.29628106008935745,0.4248554913294798,Tier 2,0.6479969600932493,0.1970753938848461,0.0276903713027061,0.1478816946442845,0.0785498489425981,0.3293051359516616,0.1062215477996965,0.0074786324786324,0.0441400304414003,0.6571860012041231,0.2697825575929146,0.3415230508340912,0.91613824605764,0.7691641776218913
E01003955,Southwark 028B,D,Family,Housing Disadvantage,4,2,6,0.3579659321731747,0.3872832369942196,Tier 2,0.563351045183945,0.2974573808918541,0.036036036036036,0.2002592352559948,0.0954712362301101,0.2717258261933905,0.184634448574969,0.0073597056117755,0.0493218249075215,0.6396796798098494,0.3449151708251135,0.3438892613479533,0.929522363502554,0.6138396764675379
E01003956,Southwark 030C,D,Family,Housing Disadvantage,4,2,6,0.3564651915557469,0.5953757225433526,Tier 4,0.7273365271324862,0.1221148505802706,0.0410367170626349,0.1357435197817189,0.0694822888283378,0.3433242506811989,0.1009549795361528,0.0167910447761194,0.0711354309165526,0.680413414328207,0.2992910582226801,0.2656071301810166,0.9257494296283544,0.8718008100456817
E01003957,Southwark 032C,A,Family,Transitional,1,2,3,0.3062866281888386,0.16184971098265893,Tier 1 (lowest),0.3638853766174943,0.3002899099706438,0.03008356545961,0.1505981703026038,0.0600858369098712,0.3361945636623748,0.11,0.0105363984674329,0.0531609195402298,0.7743573151684012,0.2733765935496395,0.333635682454551,0.9464519397757762,0.3332667079361692
E01003958,Southwark 032D,D,Family,Housing Disadvantage,4,2,6,0.36887219231612856,0.315028901734104,Tier 1 (lowest),0.4811338369800805,0.2884299198908898,0.0403517847904811,0.2422320862396956,0.071521456436931,0.2873862158647594,0.1295336787564766,0.0148367952522255,0.0520156046814044,0.6888643911521986,0.3192619115568982,0.3091848404779763,0.9256841109050584,0.5118401028931322
E01003960,Southwark 012A,C,Mixed_0,Double Disadvantage,3,3,6,0.3365394755058887,0.1936416184971098,Tier 1 (lowest),0.3618070355225392,0.4451628373811426,0.0439189189189189,0.224346717654557,0.0658761528326745,0.1870882740447957,0.2044560943643512,0.0059171597633136,0.0620957309184993,0.4574146309872673,0.4515897761872545,0.1317190519383215,0.7061012256758786,0.5523758176999958
E01003961,Southwark 012B,C,Deprived,Housing Disadvantage,3,4,7,0.6702584586354661,0.9104046242774566,Tier 5 (highest),0.7219188031411846,0.4626827843475165,0.0637681159420289,0.433806146572104,0.1375422773393461,0.2762119503945885,0.3234960272417707,0.0277161862527716,0.0836158192090395,0.3868106124785074,0.726394475453435,0.1640572622944364,0.8213276007907582,0.832405968704952
E01003963,Southwark 016A,C,Deprived,Housing Disadvantage,3,4,7,0.5961325851959277,0.5664739884393064,Tier 3,0.4837248717923437,0.602026397468257,0.0448717948717948,0.3887283236994219,0.0687679083094555,0.3051575931232091,0.2773722627737226,0.0369426751592356,0.0884057971014492,0.3910684540931911,0.8096742187500456,0.0575777891706435,0.7560959691257013,0.5256743845882104
E01033878,Southwark 015F,C,Deprived,Housing Disadvantage,3,4,7,0.6066487800642513,0.7846820809248555,Tier 5 (highest),0.6616538255126979,0.2973080641091608,0.050632911392405,0.3596004439511653,0.0695443645083932,0.3573141486810551,0.2809523809523809,0.0309477756286266,0.1090047393364928,0.5940838585610081,0.5739497189818112,0.1246204203967353,0.9141050711944068,0.7057796929668924
E01033880,Southwark 015H,C,Deprived,Housing Disadvantage,3,4,7,0.6246200990947954,0.7904624277456647,Tier 5 (highest),0.6616538255126979,0.2581126440003393,0.0192127460168697,0.4199184624344787,0.033271719038817,0.3493530499075785,0.2429378531073446,0.0356589147286821,0.2286245353159851,0.5940838585610081,0.5739497189818112,0.1246204203967353,0.9141050711944068,0.7057796929668924
E01003966,Southwark 015B,C,Deprived,Housing Disadvantage,3,4,7,0.644537823805622,0.7369942196531791,Tier 5 (highest),0.583007440858656,0.3405018593136844,0.0539146741678387,0.4401544401544401,0.089049338146811,0.259927797833935,0.2953995157384987,0.0327272727272727,0.1251518833535844,0.5435833773238166,0.6141800809519843,0.0418030524115631,0.8412415169550209,0.6786909647986951
E01033881,Southwark 016F,C,Deprived,Housing Disadvantage,3,4,7,0.597977593213973,0.6965317919075145,Tier 5 (highest),0.5771833026516248,0.4607435482919716,0.0519342872284048,0.4098360655737705,0.0938375350140056,0.3095238095238095,0.2668539325842696,0.0206060606060606,0.1265646731571627,0.3425254074595991,0.6179334434376733,0.1443388413455859,0.8413980745299052,0.7338436269242875
E01033879,Southwark 015G,C,Deprived,Housing Disadvantage,3,4,7,0.7157112957645114,0.7109826589595376,Tier 5 (highest),0.5559769374346512,0.3999866852353441,0.0441924129839655,0.4480759093305219,0.0641330166270783,0.4156769596199525,0.2804295942720763,0.0360721442885771,0.1945754716981132,0.3009510841690365,0.5243763787459502,0.1640572622944364,0.9740535586304524,0.7109818929038434
E01003969,Southwark 017B,C,Mixed_0,Double Disadvantage,3,3,6,0.4265916699532969,0.7023121387283238,Tier 5 (highest),0.7375025934539388,0.3062792386195134,0.0231331168831168,0.302803738317757,0.0699507389162561,0.1950738916256157,0.2047244094488189,0.0272969374167776,0.0813725490196078,0.5229350510648759,0.552554646490613,0.1769531095949846,0.8319641846367087,0.8795668960022299
E01003971,Southwark 015D,C,Deprived,Housing Disadvantage,3,4,7,0.5061282303275807,0.6445086705202312,Tier 4,0.5934164919372577,0.4038591993375324,0.0308555399719495,0.3601496725912067,0.0581395348837209,0.4205426356589147,0.203125,0.0138648180242634,0.1242718446601941,0.3116264926908886,0.5475509219320269,0.1492684465827985,0.9050143637997976,0.7776276901074824
E01003972,Southwark 016D,C,Deprived,Housing Disadvantage,3,4,7,0.5141421135020665,0.7052023121387283,Tier 5 (highest),0.6567876783791283,0.4500234343386378,0.0368349249658935,0.3184991273996509,0.0577849117174959,0.3226324237560192,0.2504065040650406,0.0291005291005291,0.0830618892508143,0.4462796773299615,0.7497814107545352,0.0970146310683446,0.8955991363989716,0.6884791950122329
E01003973,Southwark 016E,C,Mixed_0,Double Disadvantage,3,3,6,0.5066929324206308,0.5751445086705202,Tier 4,0.5632962180177503,0.6383197779379269,0.0477918935269207,0.3798677443056576,0.0828877005347593,0.25,0.2347480106100795,0.0245261984392419,0.0554089709762532,0.3277663544050329,0.8286283656834055,0.1640572622944364,0.799119234870078,0.5983217505192462
E01003975,Southwark 004A,C,Deprived,Housing Disadvantage,3,4,7,0.46993847697437036,0.6820809248554913,Tier 5 (highest),0.6939138208086927,0.4302102018876121,0.0442577030812324,0.3221288515406162,0.0474254742547425,0.2926829268292683,0.2195121951219512,0.0237020316027088,0.0747282608695652,0.3325991932007733,0.7209486416289821,0.0851835784990343,0.9317452737048856,0.7930461421714902
E01003976,Southwark 036D,C,Mixed_0,Double Disadvantage,3,3,6,0.3942035227547724,0.5549132947976878,Tier 3,0.6617764129793503,0.5232460425605662,0.0409185803757828,0.2117882117882117,0.0558464223385689,0.2120418848167539,0.1765734265734265,0.031892274982282,0.0419947506561679,0.292035622490232,0.693230385174761,0.2034941041921374,0.8218460033566004,0.8100383757942216
E01003977,Southwark 010A,C,Mixed_0,Double Disadvantage,3,3,6,0.5013147372721678,0.5549132947976878,Tier 3,0.5600204928065593,0.4517027669654242,0.0557043385109801,0.3231357552581262,0.0828331332533013,0.2412965186074429,0.2581818181818182,0.0197300103842159,0.0752427184466019,0.2040003955126433,0.6606359629918843,0.0398312103166781,0.9715891765129518,0.7315265184360995
E01033870,Southwark 004G,C,Professional,Housing Disadvantage,3,1,4,0.21809977707028083,0.5390173410404624,Tier 3,0.8243516416746419,0.4860543124391455,0.0242663656884875,0.1676337846550612,0.0290697674418604,0.1813953488372093,0.1175785797438882,0.0096308186195826,0.0419091967403958,0.1895424228954668,0.7607882818128302,0.187719367433057,0.9492467516887448,0.9690778719074687
