lsoa21cd,lsoa21nm,HEI_pca,HEI_quintile,HCI,HCI_quintile,Affordability,Aff_quintile,median_house_price,transport_ptai,hospital,avg_epc_rating_num,overcrowding_proxy
E01003943,Southwark 009C,0.4459653862144136,Q3,0.6602966006629395,Q5 (worst condition),0.19145633246986427,Q3,500000.0,65.1941,0.6904761904761905,4.394316163410302,0.0048015683950024
E01003954,Southwark 030B,0.4645722051386148,Q3,0.4696589301569615,Q2,0.4018684596897121,Q5 (least affordable),725000.0,12.4087,1.1442528735632185,4.237960339943343,0.0025303507921564
E01003958,Southwark 032D,0.3671999810957929,Q2,0.5146867117564639,Q4,0.36352669428520645,Q5 (least affordable),684000.0,11.488,1.835185185185185,4.201581027667984,0.0027504671242172
E01003963,Southwark 016A,0.4576036561408653,Q3,0.5989859797861753,Q5 (worst condition),0.06520905613795552,Q1 (most affordable),365000.0,27.8448,1.7980392156862746,4.54356846473029,0.0049321398747434
E01003971,Southwark 015D,0.510904291995022,Q4,0.4127396006801153,Q1 (best condition),0.17392198853487695,Q3,481250.0,13.4816,1.121527777777778,4.634799235181644,0.0037660450489039
E01003972,Southwark 016D,0.6338295011368182,Q5 (worst),0.5998397654736654,Q5 (worst condition),0.11196730663125509,Q2,415000.0,14.3897,1.360897435897436,4.480164158686731,0.004665697729553
E01003973,Southwark 016E,0.5217871609855887,Q4,0.5715981308056673,Q5 (worst condition),0.1774288573218744,Q3,,23.6952,1.6029761904761906,4.616264294790343,0.0050164602420495
E01003975,Southwark 004A,0.6587396862042167,Q5 (worst),0.5172582396597037,Q4,0.09793983148326518,Q2,400000.0,10.9034,1.0801282051282053,4.610714285714286,0.0045374308288232
E01003991,Southwark 017C,0.4870705732843597,Q3,0.4793992538584283,Q3,0.1591931396294876,Q3,465500.0,8.15529,1.6515151515151516,4.531516183986372,0.0038786294932757
E01003992,Southwark 014A,0.6717766128645667,Q5 (worst),0.5138996252333218,Q4,0.11781208794291753,Q2,421250.0,16.5964,0.7598484848484848,4.581850533807829,0.0043847550519949
E01003993,Southwark 017D,0.4523935976633627,Q3,0.3810517804179596,Q1 (best condition),0.1774288573218744,Q3,,8.92975,1.5101851851851853,4.727969348659004,0.0039027018280169
E01003995,Southwark 014B,0.4084567833707601,Q2,0.7247758159608196,Q5 (worst condition),0.1774288573218744,Q3,485000.0,45.6154,1.9333333333333331,4.401741293532338,0.005373602946538
E01003997,Southwark 017E,0.3552647382558833,Q2,0.5006047827219362,Q3,0.121318956729915,Q2,425000.0,18.504,1.7458333333333331,4.340909090909091,0.0032337417252841
E01003998,Southwark 014D,0.2451002704486937,Q1 (best),0.5281361859923753,Q4,0.30648162868338114,Q5 (least affordable),623000.0,34.3612,1.8936507936507936,4.349162011173185,0.0034999209815657
E01004003,Southwark 023B,0.4551275180072334,Q3,0.34643858301741903,Q1 (best condition),0.023594213198918967,Q1 (most affordable),320500.0,17.3645,0.9366666666666664,4.693568726355611,0.0034643861150399
E01004007,Southwark 018E,0.3191687271527276,Q2,0.3418904802798052,Q1 (best condition),0.02312663069398596,Q1 (most affordable),320000.0,10.8004,1.8174603174603177,4.721311475409836,0.003546008244732
E01004008,Southwark 022B,0.4892304822006662,Q3,0.38901791595313506,Q1 (best condition),0.01003432055586212,Q1 (most affordable),306000.0,28.8441,0.5166666666666667,4.628930817610063,0.0035420603176233
E01004019,Southwark 026C,0.434803190446518,Q3,0.5062533841021886,Q4,0.22886293286450388,Q4,540000.0,11.8681,1.6113333333333333,4.315602836879433,0.0031718495362136
E01004024,Southwark 011C,0.5203825652008156,Q4,0.3675026466039799,Q1 (best condition),0.03668652333704281,Q1 (most affordable),334500.0,14.9454,1.0231182795698923,4.819691577698695,0.004185017178453
E01004036,Southwark 007E,0.6296817444975962,Q5 (worst),0.5101965393217551,Q4,0.010969485565728077,Q1 (most affordable),307000.0,22.6585,0.7619791666666667,4.615039281705949,0.0044969536765416
E01004044,Southwark 013E,0.5796805744449007,Q5 (worst),0.4752370216225267,Q2,0.28029700840713334,Q4,595000.0,11.5705,1.1208333333333331,4.555749128919861,0.0039483382186027
E01004045,Southwark 027A,0.5324599521257863,Q4,0.4906705758462737,Q3,0.05585740603929562,Q1 (most affordable),355000.0,15.3488,1.4634920634920636,4.682515337423313,0.0046245915078917
E01004065,Southwark 025D,0.4258001406050386,Q3,0.44222811448259103,Q2,0.3317310839497628,Q5 (least affordable),650000.0,21.1206,0.9595238095238094,4.3087149187592315,0.0026059347418027
E01004071,Southwark 030D,0.6056120825608683,Q5 (worst),0.6068240940087771,Q5 (worst condition),0.21296512769678205,Q4,523000.0,11.1411,1.04,4.058992805755396,0.002906816654577
E01032637,Southwark 035E,0.5416296447811966,Q4,0.4834053404438491,Q3,0.41119673066312534,Q5 (least affordable),734975.0,25.3849,1.0481481481481485,4.674772036474164,0.0045303345791763
E01032638,Southwark 035D,0.5773368853951899,Q5 (worst),0.37176198396764715,Q1 (best condition),0.35511020919641256,Q5 (least affordable),675000.0,9.37779,0.7907407407407407,4.673144876325089,0.0035883324721292
E01032639,Southwark 014F,0.2909271255745705,Q2,0.5501291424377871,Q5 (worst condition),0.21249754519184905,Q4,522500.0,57.9769,1.4830729166666667,4.699859747545582,0.0051973817047521
E01032640,Southwark 035B,0.3397663901760644,Q2,0.40786268785394364,Q1 (best condition),0.5000607857256412,Q5 (least affordable),830000.0,25.0381,1.3412698412698414,4.51304347826087,0.0031998208976186
E01032719,Southwark 014G,0.4819883140670835,Q3,0.6568829212647345,Q5 (worst condition),0.07456070623661543,Q2,375000.0,65.755,0.575,4.464814814814815,0.0050771845808063
E01032803,Southwark 036C,0.2478222830340384,Q1 (best),0.40216058861711357,Q1 (best condition),0.2849728334564633,Q4,600000.0,59.5684,0.9527777777777778,4.816074188562596,0.0044596582325658
E01032834,Southwark 035C,0.5913934129796925,Q5 (worst),0.4276572214546276,Q2,0.6590388374028595,Q5 (least affordable),1000000.0,11.0725,0.8686666666666666,4.572789115646258,0.0036233994331556
E01033870,Southwark 004G,0.7478849273116968,Q5 (worst),0.45377337113252225,Q2,0.21951128276584397,Q4,530000.0,9.21538,0.6074712643678161,4.775,0.0047146634473872
E01033872,Southwark 004I,0.7478849273116968,Q5 (worst),0.617338786440741,Q5 (worst condition),0.21951128276584397,Q4,530000.0,9.21538,0.5216049382716049,4.554655870445344,0.0051336819661373
