lsoa21cd,lsoa21nm,HEI_pca,HCI,Affordability,lisa_I,lisa_q,lisa_p,lisa_label,lisa_label_01
E01003960,Southwark 012A,0.2288368138441522,0.4480288709111706,0.1531145670653586,-0.48292977627880457,2,0.131,ns,ns
E01003976,Southwark 036D,0.5587614735098214,0.4785325381885474,0.2382145829631637,0.32979858807894563,1,0.106,ns,ns
E01003977,Southwark 010A,0.5641762168419335,0.4091273006535921,0.0441678434159707,0.6194186530560862,1,0.005,HH,HH
E01003979,Southwark 006E,0.5541411962168671,0.527056461805893,0.2405524954878287,0.5096849952474747,1,0.023,HH,ns
E01003980,Southwark 013A,0.5536908121483877,0.4668018500324216,0.0166608998157725,0.38899798876712854,1,0.036,HH,ns
E01003999,Southwark 014E,0.4835219023655943,0.5710159029841309,0.013307398090393,-0.03776660082467014,4,0.37,ns,ns
E01004010,Southwark 022D,0.5725951852673848,0.5292998915375725,0.0675469686626205,-0.1488931077466407,4,0.317,ns,ns
E01004013,Southwark 019D,0.4398296036592756,0.248529355643034,0.0745607062366154,0.01750912119712946,1,0.179,ns,ns
E01004014,Southwark 019E,0.23329937678628,0.4601944909503125,0.00369857761402,0.19554491010769837,3,0.336,ns,ns
E01004021,Southwark 028D,0.5202135091235183,0.5475727062914922,0.2265250203398389,0.05508383039569637,1,0.376,ns,ns
E01004023,Southwark 004D,0.4456521410506526,0.4274806643590639,0.2054838076178541,0.0675800126627783,1,0.029,HH,ns
E01004030,Southwark 007A,0.5597279431444567,0.4539944499430712,0.2849728334564633,0.43463578489086474,1,0.13,ns,ns
E01004032,Southwark 001B,0.1389085070070684,0.3803283298784454,0.2766208747533502,-0.11605579339330326,2,0.456,ns,ns
E01004034,Southwark 007D,0.5508009809853496,0.5442844219170088,0.0792365312859453,0.24514041497363143,1,0.171,ns,ns
E01004037,Southwark 010B,0.731001063339936,0.6348101668544154,0.0418065517660591,0.6706258345901789,1,0.152,ns,ns
E01004042,Southwark 010D,0.3769920531511539,0.3901786844532886,0.0676591884638044,-0.213404166848531,2,0.03,LH,ns
E01004043,Southwark 010E,0.3357379741249078,0.3903841046933196,0.217640952746112,-0.2714797376321182,2,0.123,ns,ns
E01004047,Southwark 027B,0.6445552969378925,0.4494976418543953,0.0605332310886255,0.05637687276051488,1,0.447,ns,ns
E01004051,Southwark 027E,0.5380037986589623,0.5377652647200344,0.116643131680585,0.27814943774238965,1,0.138,ns,ns
E01004060,Southwark 008E,0.2952277285564561,0.4269863867203289,0.1685447897281475,0.004624618693954453,3,0.491,ns,ns
E01004066,Southwark 025E,0.5126511414801322,0.4583849579479077,0.1984700700438592,0.05793030023174575,1,0.381,ns,ns
E01032584,Southwark 034E,0.0241003799815578,0.4968448073686285,0.1867805074205343,4.516381248294717,3,0.001,LL,LL
E01032646,Southwark 036B,0.3041147490928647,0.4732176736837086,0.2265250203398389,0.5068990727664053,3,0.048,LL,ns
E01033871,Southwark 004H,0.6417998658487835,0.4315872231128993,0.0251839937156911,0.5100455677394438,1,0.144,ns,ns
E01033877,Southwark 012I,0.4092231163765919,0.542694290524547,0.2475662330618236,0.006872467092848445,3,0.456,ns,ns
E01033878,Southwark 015F,0.5973724483229351,0.5938946739359343,0.1446980819765647,0.5978279870144281,1,0.109,ns,ns
E01033879,Southwark 015G,0.50375199501692,0.3941125585907774,0.1774288573218744,0.2587801641409199,1,0.113,ns,ns
