lsoa21cd,lsoa21nm,HEI_bayes,HEI_bayes_uncert,HEI_quintile,HEI_adjusted,rank_bayes,rank_adjusted,rank_change,pop_cluster,pop_label,zone_type,pct_epc_ABC,pct_poor_health,pct_fair_health,pct_good_health,pct_high_nssec,pct_low_nssec,pct_intermediate,pct_elderly_alone,pct_single,pct_dep_children,pct_lone_parent,pct_long_commute,pct_home_work,pct_short_commute,pct_deprived_any,pct_deprived_2plus,pct_large_hh,pct_small_hh,overcrowding_proxy,transport_ptai,hospital,median_house_price,avg_epc_rating_num
E01003980,Southwark 013A,0.6009342680878669,0.3301246695250935,Q3,0.39084107456737,107.0,69.0,-38.0,2,Deprived,Mixed,61.848574237954764,0.05555555555555555,0.13663663663663664,0.8078078078078078,0.29381145170618855,0.3603238866396761,0.06419895893580103,0.09395973154362416,0.42058165548098436,0.20022371364653244,0.09060402684563758,0.021212121212121213,0.3575757575757576,0.32525252525252524,0.6331828442437923,0.2652370203160271,0.11085972850678733,0.6821266968325792,0.0041674514141674,15.5438,1.1288617886178862,313086.0,4.6228991596638656
E01003981,Southwark 006F,0.7047516999157988,0.7055788485657623,Q5 (worst),0.8601794468915674,145.0,170.0,25.0,0,Mixed_0,Housing Deprived,50.187734668335416,0.06494367130550033,0.10404241219350563,0.831013916500994,0.3742469879518072,0.21762048192771086,0.06927710843373494,0.10566615620214395,0.4655436447166922,0.16845329249617153,0.07503828483920368,0.017615176151761516,0.513550135501355,0.2899728997289973,0.5226586102719033,0.24018126888217523,0.05606060606060606,0.7424242424242424,0.0045706276081571,84.3865,0.6046153846153846,1055000.0,4.568965517241379
E01003983,Southwark 018A,0.4630530859126257,0.3880737845219224,Q2,0.5053856429841082,43.0,121.0,78.0,2,Deprived,Housing Advantaged,61.63793103448276,0.03745318352059925,0.11342964151952915,0.8491171749598716,0.218475073313783,0.4222873900293255,0.09310850439882698,0.04769001490312966,0.23546944858420268,0.4217585692995529,0.21609538002980627,0.03303684879288437,0.22871664548919948,0.3341804320203304,0.6602086438152012,0.2667660208643815,0.14732142857142858,0.5208333333333334,0.0040113502868228,13.772,1.724242424242424,,4.598518518518518
E01003984,Southwark 023A,0.4948681388425795,0.3310724114422149,Q2,0.3656278291338118,54.0,59.0,5.0,0,Mixed_0,Housing Advantaged,46.09297725024728,0.044580419580419584,0.10139860139860139,0.8540209790209791,0.418163160595177,0.30323242688558233,0.09389430477167779,0.10557768924302789,0.35258964143426297,0.22111553784860558,0.08167330677290836,0.02135774218154081,0.43935926773455375,0.2120518688024409,0.5656063618290258,0.23061630218687873,0.06487025948103792,0.6716566866267465,0.0035218329092995,20.6753,1.4936274509803922,450000.0,4.429978118161926
E01003986,Southwark 011A,0.651985686149803,0.6222387288095038,Q4,0.4832458634353125,120.0,113.0,-7.0,2,Deprived,Housing Deprived,54.55801104972375,0.07876496534341525,0.12287334593572778,0.798361688720857,0.2887323943661972,0.3904538341158059,0.09233176838810642,0.13447782546494993,0.38626609442060084,0.2804005722460658,0.13161659513590845,0.027932960893854747,0.34217877094972066,0.2611731843575419,0.6762177650429799,0.3452722063037249,0.06294706723891273,0.6494992846924177,0.0043136495410511,13.1411,1.0551724137931036,,4.712380952380952
E01003987,Southwark 011B,0.5774381395512815,0.7280638068846622,Q3,0.4078130232475675,95.0,77.0,-18.0,2,Deprived,Mixed,66.396292004635,0.058695652173913045,0.1483695652173913,0.7929347826086957,0.2984778292521509,0.3639973527465255,0.09530112508272667,0.11495673671199011,0.4054388133498146,0.26452410383189123,0.1211372064276885,0.02402745995423341,0.34439359267734554,0.26887871853546913,0.6495726495726496,0.2771672771672772,0.0687116564417178,0.6613496932515337,0.0040572361678645,4.31175,1.148198198198198,341000.0,4.767241379310345
E01003988,Southwark 018B,0.9563145353322344,0.5131078268376514,Q5 (worst),0.3356364775337464,172.0,51.0,-121.0,2,Deprived,Double Deprivation,39.81132075471698,0.06712734452122408,0.12339585389930899,0.8094768015794669,0.24726224783861672,0.3936599423631124,0.08703170028818444,0.13745704467353953,0.4020618556701031,0.24742268041237114,0.12600229095074456,0.035256410256410256,0.26816239316239315,0.24786324786324787,0.6931034482758621,0.3103448275862069,0.09028571428571429,0.6548571428571428,0.0042418016212566,10.7857,1.3788359788359787,315000.0,4.422584400465658
E01003989,Southwark 018C,0.4936087519014033,0.3357299011013743,Q2,0.45016637577856927,53.0,93.0,40.0,2,Deprived,Housing Advantaged,56.46794150731158,0.036283185840707964,0.09424778761061947,0.8694690265486725,0.3219101123595506,0.35730337078651686,0.07977528089887641,0.05005688282138794,0.2775881683731513,0.30602957906712175,0.13310580204778158,0.03617571059431524,0.33161068044788977,0.2876830318690784,0.5800227014755959,0.2224744608399546,0.10730593607305935,0.5787671232876712,0.0043297839991016,9.99103,1.5180555555555555,288250.0,4.660639777468707
E01003990,Southwark 018D,0.3632145757914128,0.5625460837731463,Q1 (best),0.4418005104063379,23.0,88.0,65.0,2,Deprived,Housing Advantaged,61.91646191646192,0.0486322188449848,0.11723838471558837,0.8341293964394269,0.2415820416889364,0.3971138428647782,0.09086050240513095,0.07186358099878197,0.2630937880633374,0.3325213154689403,0.14981729598051158,0.020739404869251576,0.2660054102795311,0.3056807935076646,0.6537059538274606,0.2867557715674362,0.13663845223700122,0.5417170495767836,0.0037205694556583,11.0672,1.8693798449612404,332500.0,4.622222222222222
E01003991,Southwark 017C,0.5051910883791066,0.4180331492133933,Q2,0.4249553453587901,59.0,83.0,24.0,2,Deprived,Housing Advantaged,53.858784893267654,0.10369206598586017,0.15553809897879026,0.7407698350353495,0.2564575645756458,0.4003690036900369,0.09225092250922509,0.17869415807560138,0.3711340206185567,0.20446735395189003,0.08075601374570447,0.03272727272727273,0.3381818181818182,0.3145454545454546,0.6781411359724613,0.342512908777969,0.04753820033955857,0.6791171477079796,0.0038786294932757,8.15529,1.6515151515151516,465500.0,4.531516183986372
E01003992,Southwark 014A,0.7509512258654982,0.3660673661061279,Q5 (worst),0.3848953617727596,160.0,65.0,-95.0,2,Deprived,Double Deprivation,50.65502183406113,0.06108312342569269,0.1265743073047859,0.8123425692695214,0.26866883116883117,0.400974025974026,0.10146103896103896,0.1625,0.36875,0.303125,0.140625,0.032305433186490456,0.3392070484581498,0.32305433186490456,0.6801242236024845,0.2981366459627329,0.10108864696734059,0.5878693623639192,0.0043847550519949,16.5964,0.7598484848484848,421250.0,4.581850533807829
E01003993,Southwark 017D,0.4842436237842702,0.3145475950546825,Q2,0.4970089612992946,51.0,118.0,67.0,2,Deprived,Housing Advantaged,72.49388753056235,0.0508641975308642,0.10074074074074074,0.8483950617283951,0.24968474148802017,0.38083228247162676,0.09836065573770492,0.07125,0.31125,0.33125,0.17125,0.039378238341968914,0.2694300518134715,0.3378238341968912,0.6292134831460674,0.2634207240948814,0.1053952321204517,0.5545796737766625,0.0039027018280169,8.92975,1.5101851851851853,,4.727969348659004
E01003994,Southwark 012E,0.3862849641302345,0.2830660241464016,Q1 (best),0.538743252502072,28.0,135.0,107.0,0,Mixed_0,Housing Advantaged,37.11340206185567,0.0519409513395298,0.10278840896664844,0.8452706396938218,0.4351851851851852,0.2962962962962963,0.08703703703703704,0.07727797001153403,0.4002306805074971,0.17416378316032297,0.07151095732410612,0.017707362534948742,0.49860205032618826,0.26281453867660765,0.5220417633410673,0.19721577726218098,0.053117782909930716,0.710161662817552,0.0036674911722783,35.947,1.8135416666666664,565000.0,4.458823529411765
E01003995,Southwark 014B,0.4956301219812136,0.3711056347260063,Q2,0.7206269337396373,55.0,160.0,105.0,0,Mixed_0,Housing Advantaged,42.909535452322736,0.07142857142857142,0.13556851311953352,0.793002915451895,0.3770491803278688,0.33045729076790337,0.09490940465918896,0.0989159891598916,0.5013550135501355,0.1897018970189702,0.09349593495934959,0.02932551319648094,0.42961876832844575,0.2859237536656892,0.6054421768707483,0.2585034013605442,0.043184885290148446,0.7800269905533064,0.005373602946538,45.6154,1.9333333333333331,485000.0,4.401741293532338
E01003997,Southwark 017E,0.4295059894735707,0.0270929215006864,Q2,0.31878809150104487,33.0,45.0,12.0,0,Mixed_0,Housing Advantaged,43.30855018587361,0.044787644787644784,0.09575289575289575,0.8594594594594595,0.3931947069943289,0.27977315689981097,0.10113421550094517,0.07086614173228346,0.2755905511811024,0.2618110236220472,0.11811023622047244,0.020618556701030927,0.5007363770250368,0.21207658321060383,0.5522682445759369,0.20907297830374755,0.07692307692307693,0.5680473372781065,0.0032337417252841,18.504,1.7458333333333331,425000.0,4.340909090909091
E01003998,Southwark 014D,0.3999053504360267,0.3900197982324028,Q1 (best),0.5023692416890205,30.0,120.0,90.0,0,Mixed_0,Housing Advantaged,43.50205198358413,0.051929824561403506,0.1256140350877193,0.8224561403508772,0.49760765550239233,0.2527910685805423,0.0733652312599681,0.08549618320610687,0.3618320610687023,0.19236641221374046,0.07633587786259542,0.012239902080783354,0.5556915544675642,0.2215422276621787,0.5279878971255674,0.2118003025718608,0.0426179604261796,0.7047184170471842,0.0034999209815657,34.3612,1.8936507936507936,623000.0,4.349162011173185
E01003999,Southwark 014E,0.52128888731649,0.4692878375302067,Q2,0.32227034608147953,63.0,46.0,-17.0,2,Deprived,Housing Advantaged,42.022116903633496,0.043391188251001335,0.11348464619492657,0.8431241655540721,0.3628966639544345,0.30105777054515864,0.0838079739625712,0.06521739130434782,0.31438127090301005,0.29431438127090304,0.12876254180602006,0.020512820512820513,0.4230769230769231,0.3076923076923077,0.5943238731218697,0.2353923205342237,0.11686143572621036,0.5859766277128547,0.0038720530138906,18.3586,1.5630434782608698,309500.0,4.352180936995153
E01004000,Southwark 026A,0.5975312376406072,0.339370163295035,Q3,0.28323774082123204,106.0,30.0,-76.0,0,Mixed_0,Mixed,37.69968051118211,0.0539568345323741,0.11664953751284686,0.829393627954779,0.40588595953402823,0.3157572041692213,0.08645003065603923,0.08542141230068337,0.36332574031890663,0.2460136674259681,0.08656036446469248,0.02095238095238095,0.49238095238095236,0.15523809523809523,0.5480549199084668,0.23684210526315788,0.05821917808219178,0.6643835616438356,0.0033324379239821,13.3242,1.37816091954023,530000.0,4.318693693693693
E01004001,Southwark 026B,0.4544383506601346,0.5685561470347936,Q2,0.3915009188217125,38.0,70.0,32.0,2,Deprived,Housing Advantaged,50.32258064516129,0.07814269535673839,0.1319365798414496,0.789920724801812,0.28552005438477224,0.3970088375254929,0.10740992522093813,0.1278295605858855,0.33022636484687085,0.2596537949400799,0.09320905459387484,0.03204272363150868,0.41255006675567424,0.2109479305740988,0.6901595744680851,0.3351063829787234,0.0796812749003984,0.646746347941567,0.003285039111777,8.26902,1.7446078431372547,563000.0,4.483425414364641
E01004002,Southwark 029A,0.0665322179620752,0.5930386842117876,Q1 (best),0.4615015480304304,4.0,102.0,98.0,3,Family,Housing Advantaged,36.57142857142857,0.03755868544600939,0.10211267605633803,0.8603286384976526,0.5227617602427921,0.18285280728376327,0.09408194233687406,0.08497723823975721,0.2291350531107739,0.36722306525037934,0.06069802731411229,0.014380530973451327,0.5929203539823009,0.12278761061946902,0.4339908952959029,0.1471927162367223,0.08409785932721713,0.5244648318042814,0.0020857512688158,7.92082,3.081578947368421,800000.0,4.282442748091603
E01004003,Southwark 023B,0.5451854920232304,0.2855058562195905,Q3,0.32760160853500425,72.0,47.0,-25.0,2,Deprived,Mixed,68.48484848484848,0.07025246981339188,0.11251372118551042,0.8172338090010977,0.300132802124834,0.397742363877822,0.07702523240371846,0.09113924050632911,0.36455696202531646,0.25443037974683547,0.11012658227848102,0.0335195530726257,0.3195530726256983,0.25921787709497207,0.6599496221662469,0.31738035264483627,0.07178841309823678,0.6347607052896725,0.0034643861150399,17.3645,0.9366666666666664,320500.0,4.693568726355611
