lsoa21cd,lsoa21nm,cluster_type,kmeans_label,HEI_bayes,avg_epc_rating_num_al,overcrowding_proxy_al,median_house_price_al,transport_ptai_al,hospital_al
E01003999,Southwark 014E,C,0,0.52128888731649,0.5577249507554012,0.5713801651938606,0.0138028946641953,0.8544493775275487,0.6131938994249692
E01004000,Southwark 026A,D,2,0.5975312376406072,0.586884983896222,0.4500815510114765,0.187719367433057,0.9066462950770692,0.6820497519535507
E01004001,Southwark 026B,A,1,0.4544383506601346,0.4434398399986992,0.439426900424626,0.2137476830855397,0.9590586607329534,0.5455738425689609
E01004002,Southwark 029A,A,1,0.0665322179620752,0.618451594668777,0.1698422352114448,0.4006783136806428,0.9626688162014786,0.0476453963978029
E01004003,Southwark 023B,C,0,0.5451854920232304,0.260451175126682,0.4797418274168226,0.0224789998816896,0.8647562573416234,0.8464755548980698
E01004004,Southwark 023C,C,0,0.5648410277228159,0.4694675173598026,0.507623406332804,0.1029301573529997,0.8049564477614612,0.7544542540247003
E01004005,Southwark 023D,C,0,0.4754655864724911,0.3215372910390255,0.6053028990339249,0.0333241314035574,0.7906267640364509,0.6840734062464942
E01004006,Southwark 023E,D,2,0.7422998117711654,0.6071690961191005,0.3535078381647734,0.335213156130459,0.8756281959524663,0.8971444568092323
E01004007,Southwark 018E,C,0,0.322570250660481,0.2362933346452769,0.4980894448267567,0.0220846314627126,0.9328131829905204,0.5184413793282784
E01004008,Southwark 022B,C,0,0.6504972269674713,0.3167365953449349,0.4972020009873861,0.0110423157313563,0.745735175444779,1.0
E01004010,Southwark 022D,C,0,0.6794179611417928,0.4296697109908237,0.6354900140859772,0.0595496312655286,0.7831721351396399,0.8657742118955815
E01004011,Southwark 019B,C,0,0.4013176872262544,0.0848047579874464,0.5225540585477672,0.0496904207911033,0.9366369203161724,0.6734620351545803
E01004012,Southwark 019C,C,0,0.3223432555088087,0.1785232889508557,0.5075152594189587,0.0102535788934023,0.9865222808246024,0.5300133183925759
E01004013,Southwark 019D,C,0,0.5170644515080763,0.0874927937145282,0.4880841963960889,0.0654651575501837,0.8948153117194182,0.8822012688590255
E01004014,Southwark 019E,C,0,0.2665744023896738,0.0,0.318539360467149,0.0056986236542178,0.9749190835543826,0.6734620351545803
E01004015,Southwark 028C,A,1,0.3089772841175393,0.658444990330422,0.3134905465554191,0.1453247623930284,0.9407841408429104,0.3567298119699862
E01004016,Southwark 029B,A,1,0.0146840998612935,0.6099426689153225,0.3030899930870527,0.1246164767125456,0.9618022544724169,0.0
E01004017,Southwark 029C,A,1,0.0363873777713856,0.723555576799692,0.2274525239400134,0.1640572622944364,0.9631877371698866,0.0
E01004018,Southwark 032E,A,1,0.0782014499473098,0.6733266806858387,0.2695285403800578,0.1719446306739766,0.9756520011019704,0.0487654872933186
E01004019,Southwark 026C,D,2,0.526251008880586,0.5895764412468916,0.4139833223770724,0.1956067358125972,0.921743214599526,0.5952092979433318
E01004020,Southwark 029D,A,1,0.2754447618010618,0.4709162309395818,0.6710582499369141,0.0615214733604136,0.9947941195262072,0.1877706342449872
E01004021,Southwark 028D,C,0,0.62715622340771,0.5809061992839128,0.5014259575684104,0.1936348937177122,0.8767220253663933,0.7067255475008835
E01033869,Southwark 004F,C,0,0.6670094618213681,0.3136874579959001,0.7553277102204297,0.0238198525062114,0.8869055253697977,0.7953994100625499
E01033871,Southwark 004H,C,0,0.6670094618213681,0.3136874579959001,0.7553277102204297,0.0238198525062114,0.8869055253697977,0.7953994100625499
E01004023,Southwark 004D,C,0,0.5050200634303694,0.3237877254645768,0.5617549319033609,0.1758883148637467,0.89063698703873,0.6568464998099461
E01004024,Southwark 011C,C,0,0.5671022516052588,0.1506258756276693,0.6417305318906055,0.0335213156130459,0.8898376102822012,0.8142783614466467
E01033884,Southwark 035A,B,3,0.5713327117896139,0.2370156884734719,0.5377307562968096,0.7556098907599523,0.3114672724284968,0.8629289276500048
E01033885,Southwark 036A,B,3,0.5713327117896139,0.2370156884734719,0.5377307562968096,0.7556098907599523,0.3114672724284968,0.8629289276500048
E01004028,Southwark 004E,C,0,0.6941144675081028,0.3052645471584553,0.7436235414294121,0.0,0.9134456631306554,0.8376303371075434
E01004029,Southwark 001A,C,0,0.5716367852386638,0.4032771224666803,0.6073225146269635,0.1719446306739766,0.8595069129599053,0.6764229602370215
E01004030,Southwark 007A,C,0,0.7105221540304222,0.364825995518814,0.5659551374095817,0.2429309460898385,0.8352809242529671,0.8914627611710217
E01004031,Southwark 007B,C,0,0.5853380349520038,0.3763774356186181,0.5768516002266664,0.1394092361083732,0.7645106795744521,0.792197298358934
E01004032,Southwark 001B,A,1,0.203057440459053,0.3794716080482679,0.4109627325463363,0.2358867373900711,0.8485655084052396,0.3086587258101672
E01004033,Southwark 007C,C,0,0.6735421422979686,0.2736022655469691,0.7821486564896574,0.148282525535356,0.7759103519973223,0.8148189859635548
E01004034,Southwark 007D,C,0,0.5886532183920059,0.4002485261431847,0.6964712398185728,0.0694088417399538,0.8678065380390391,0.6702775322686398
E01004035,Southwark 011D,C,0,0.4809101842962885,0.2422505094268964,0.6096403021541676,0.1254091572346893,0.8664555809524542,0.647589254330448
E01004036,Southwark 007E,C,0,0.7040003937010253,0.3288330717163779,0.7118498922247898,0.0118310525693103,0.8098677936702503,0.9115344594362824
E01004037,Southwark 010B,C,0,0.7006262417170293,0.3582496579986691,0.9136713117015132,0.0378396498008441,0.918053225135861,0.7018484850599918
E01004038,Southwark 010C,C,0,0.5704555715476646,0.3063061504371501,0.6918455687355223,0.150254367630241,0.928822520038667,0.6502944866317786
E01004039,Southwark 013B,C,0,0.5526076833640312,0.5508614983466462,0.6555753546799907,0.0851835784990343,0.9124368517375264,0.5516619495778303
E01004040,Southwark 013C,C,0,0.4554071187568977,0.2273086948728581,0.8059883410799582,0.1640572622944364,0.8557910033679483,0.5054949953942751
E01004041,Southwark 013D,C,0,0.4877612597815953,0.2477008459629758,0.8091656677114338,0.1640572622944364,0.8950402984329937,0.5156333736804923
E01004042,Southwark 010D,C,0,0.3723258256102906,0.2571424756827569,0.5657693971631117,0.0596442796860831,0.9419383123155012,0.5156333736804923
E01004043,Southwark 010E,A,1,0.3882327991648713,0.4130293957318177,0.3925128125923864,0.186141893757149,0.970872225764392,0.4993145225219664
E01004044,Southwark 013E,C,0,0.672205422172594,0.3804617711767264,0.5885281096958611,0.2389872619000684,0.9248287466714188,0.7778863222066208
E01004045,Southwark 027A,C,0,0.5429367042816742,0.2700762489102308,0.7405412545486758,0.0496904207911033,0.8856551383809863,0.650269855003289
E01004046,Southwark 028E,D,2,0.6239482843821172,0.8118500976193737,0.288991541181956,0.2389872619000684,0.8707894264028951,0.7018484850599918
E01004047,Southwark 027B,C,0,0.7126709135471294,0.3027438672240141,0.6266433903714165,0.0536341049808734,0.8939661683165686,0.9439281298533412
E01004048,Southwark 027C,A,1,0.4296905568892919,0.4566508370162441,0.3898403318319915,0.1737192885593732,0.9240521796277872,0.5708771900564107
E01004049,Southwark 027D,C,0,0.5566892897148102,0.3381578866035982,0.6677869646153639,0.0812398943092642,0.8238314851837761,0.6940274503820527
E01004050,Southwark 024D,D,2,0.6484166206351252,0.71471147832217,0.3502739243089438,0.1325077887762756,0.9036323025592624,0.7725775580664157
E01004051,Southwark 027E,D,2,0.6800593300827584,0.6305383278125145,0.4276776686470599,0.1009583152581147,0.8228278578163055,0.8614244902282573
E01004052,Southwark 024E,D,2,0.5902985686964966,0.6058686164194376,0.3401818570271462,0.1916630516228271,0.9029780785211696,0.7391985275148454
